Caller,Caller_sym,Callee,Callee_sym,DAT,STMP,CON,EXT,COM,CONT 
CComunicationModule,SendRoboCAR_LEDFront,CSerialCtrl,WriteABuffer,0,0,1,0,0,0
CComunicationModule,SendRoboCAR_LEDRear,CSerialCtrl,WriteABuffer,0,0,1,0,0,0
CComunicationModule,SendRoboCAR_Motor,CSerialCtrl,WriteABuffer,0,0,1,0,0,0
CComunicationModule,SendRoboCAR_Motor,CSerialCtrl,WriteABuffer,0,0,1,0,0,0
CComunicationModule,SendRoboCAR_MotorNew,CSerialCtrl,ReadABuffer,0,0,1,0,0,0
CComunicationModule,SendRoboCAR_MotorNew,CSerialCtrl,WriteABuffer,0,0,1,0,0,0
CControlAIModelDlg,InitToolbar,CAutocomplectionCtrl,Create,0,0,1,0,0,0
CFileView,OnChangeVisualStyle,CAutocomplectionCtrl,Create,0,0,1,0,0,0
CFileView,OnCreate,CAutocomplectionCtrl,Create,0,0,1,0,0,0
CFileView,OnCreate,CAutocomplectionCtrl,Create,0,0,1,0,0,0
CFileView,OnCreate,CAutocomplectionCtrl,Create,0,0,1,0,0,0
CMFCToolBarEx,AddCombo,CAutocomplectionCtrl,Create,0,0,1,0,0,0
CMainFrame,CreateDockingWindows,CAutocomplectionCtrl,Create,0,0,1,0,0,0
CMainFrame,CreateDockingWindows,CAutocomplectionCtrl,Create,0,0,1,0,0,0
CMainFrame,CreateDockingWindows,CAutocomplectionCtrl,Create,0,0,1,0,0,0
CMainFrame,OnCreate,CMFCToolBarEx,AddCombo,0,0,1,0,0,0
CMainFrame,OnCreate,CSerialCtrl,ConnectPortCheck,0,0,1,0,0,0
CMainFrame,OnCreate,CAutocomplectionCtrl,Create,0,0,1,0,0,0
CMainFrame,OnCreate,CAutocomplectionCtrl,Create,0,0,1,0,0,0
CMainFrame,OnCreate,CAutocomplectionCtrl,Create,0,0,1,0,0,0
CMainFrame,OnCreate,CAutocomplectionCtrl,Create,0,0,1,0,0,0
CMainFrame,OnCreate,CAutocomplectionCtrl,Create,0,0,1,0,0,0
CMainFrame,OnToolSeralConn,CSerialCtrl,ConnectPort,0,0,1,0,0,0
CMainFrame,OnViewCustomize,CAutocomplectionCtrl,Create,0,0,1,0,0,0
CMainFrame,PasingSerail,CSerialCtrl,ReadABuffer,0,0,1,0,0,0
CMainFrame,PasingSerail,CSerialCtrl,ReadABuffer,0,0,1,0,0,0
CMainFrame,PasingSerail,CSerialCtrl,WriteABuffer,0,0,1,0,0,0
CMainFrame,PasingSerail,CSerialCtrl,WriteABuffer,0,0,1,0,0,0
CMainFrame,PasingSerailNew,CSerialCtrl,ReadABuffer,0,0,1,0,0,0
CMainFrame,PasingSerailNew,CSerialCtrl,WriteABuffer,0,0,1,0,0,0
CMainFrame,PasingSerailNew,CSerialCtrl,WriteABuffer,0,0,1,0,0,0
CMainFrame,SendRoboCAR_Motor,CSerialCtrl,ReadABuffer,0,0,1,0,0,0
CMainFrame,SendRoboCAR_Motor,CSerialCtrl,WriteABuffer,0,0,1,0,0,0
CODEEngine,nearCallback,COdeRoboCarBody,SetSensorData,0,0,1,0,0,0
CODEEngine,nearCallback,COdeRoboCarBody,SetSensorData,0,0,1,0,0,0
COdeControlBoxDlg,CreateSlider,CAutocomplectionCtrl,Create,0,0,1,0,0,0
COdeControlBoxDlg,CreateSlider,CAutocomplectionCtrl,Create,0,0,1,0,0,0
COdeControlBoxDlg,CreateSlider,CAutocomplectionCtrl,Create,0,0,1,0,0,0
COutputList,OnContextMenu,CAutocomplectionCtrl,Create,0,0,1,0,0,0
COutputWnd,OnCreate,CAutocomplectionCtrl,Create,0,0,1,0,0,0
COutputWnd,OnCreate,CAutocomplectionCtrl,Create,0,0,1,0,0,0
CPropertiesWnd,OnCreate,CAutocomplectionCtrl,Create,0,0,1,0,0,0
CPropertiesWnd,OnCreate,CAutocomplectionCtrl,Create,0,0,1,0,0,0
CRobotModelingEditView,OnCreate,CAutocomplectionCtrl,Create,0,0,1,0,0,0
CRobotModelingEditView,OnInitialUpdate,CAutocomplectionCtrl,AddKeyword,0,0,1,0,0,0
CRobotModelingEditView,OnInitialUpdate,CAutocomplectionCtrl,AddKeyword,0,0,1,0,0,0
CRobotModelingEditView,OnInitialUpdate,CAutocomplectionCtrl,AddKeyword,0,0,1,0,0,0
CRobotModelingEditView,OnInitialUpdate,CAutocomplectionCtrl,AddKeyword,0,0,1,0,0,0
CRobotModelingEditView,OnInitialUpdate,CAutocomplectionCtrl,AddKeyword,0,0,1,0,0,0
CRobotModelingEditView,OnInitialUpdate,CAutocomplectionCtrl,AddKeyword,0,0,1,0,0,0
CRobotModelingEditView,OnInitialUpdate,CAutocomplectionCtrl,AddKeyword,0,0,1,0,0,0
CRobotModelingEditView,OnInitialUpdate,CAutocomplectionCtrl,AddKeyword,0,0,1,0,0,0
CRobotModelingEditView,OnInitialUpdate,CAutocomplectionCtrl,AddKeyword,0,0,1,0,0,0
CRobotModelingEditView,OnInitialUpdate,CAutocomplectionCtrl,AddKeyword,0,0,1,0,0,0
CRobotModelingEditView,OnInitialUpdate,CAutocomplectionCtrl,AddKeyword,0,0,1,0,0,0
CRobotModelingEditView,OnInitialUpdate,CAutocomplectionCtrl,AddKeyword,0,0,1,0,0,0
CRobotModelingEditView,OnInitialUpdate,CAutocomplectionCtrl,AddKeyword,0,0,1,0,0,0
CRobotModelingEditView,OnInitialUpdate,CAutocomplectionCtrl,AddKeyword,0,0,1,0,0,0
CRobotModelingEditView,OnInitialUpdate,CAutocomplectionCtrl,AddKeyword,0,0,1,0,0,0
CRobotModelingEditView,OnInitialUpdate,CAutocomplectionCtrl,AddKeyword,0,0,1,0,0,0
CRobotModelingEditView,OnInitialUpdate,CAutocomplectionCtrl,AddKeyword,0,0,1,0,0,0
CRobotModelingEditView,OnInitialUpdate,CAutocomplectionCtrl,AddKeyword,0,0,1,0,0,0
CRobotModelingEditView,OnInitialUpdate,CAutocomplectionCtrl,AddKeyword,0,0,1,0,0,0
CRobotModelingEditView,OnInitialUpdate,CAutocomplectionCtrl,AddKeyword,0,0,1,0,0,0
CRobotModelingEditView,OnInitialUpdate,CAutocomplectionCtrl,AddKeyword,0,0,1,0,0,0
CRobotModelingEditView,OnInitialUpdate,CAutocomplectionCtrl,AddKeyword,0,0,1,0,0,0
CRobotModelingEditView,OnInitialUpdate,CAutocomplectionCtrl,AddKeyword,0,0,1,0,0,0
CRobotModelingEditView,OnInitialUpdate,CAutocomplectionCtrl,AddKeyword,0,0,1,0,0,0
CRobotModelingEditView,OnInitialUpdate,CAutocomplectionCtrl,AddKeyword,0,0,1,0,0,0
CRobotModelingEditView,OnInitialUpdate,CAutocomplectionCtrl,AddKeyword,0,0,1,0,0,0
CRobotModelingEditView,OnInitialUpdate,CAutocomplectionCtrl,AddKeyword,0,0,1,0,0,0
CRobotModelingEditView,OnInitialUpdate,CAutocomplectionCtrl,AddKeyword,0,0,1,0,0,0
CRobotModelingEditView,OnInitialUpdate,CAutocomplectionCtrl,AddKeyword,0,0,1,0,0,0
CRobotModelingEditView,OnInitialUpdate,CAutocomplectionCtrl,AddKeyword,0,0,1,0,0,0
CRobotModelingEditView,OnInitialUpdate,CAutocomplectionCtrl,AddKeyword,0,0,1,0,0,0
CRobotModelingEditView,OnInitialUpdate,CAutocomplectionCtrl,AddKeyword,0,0,1,0,0,0
CRobotModelingEditView,OnInitialUpdate,CAutocomplectionCtrl,AddKeyword,0,0,1,0,0,0
CRobotModelingEditView,OnInitialUpdate,CAutocomplectionCtrl,AddKeyword,0,0,1,0,0,0
CRobotModelingEditView,OnInitialUpdate,CAutocomplectionCtrl,AddKeyword,0,0,1,0,0,0
CRobotModelingEditView,OnInitialUpdate,CAutocomplectionCtrl,AddKeyword,0,0,1,0,0,0
CRobotModelingEditView,OnInitialUpdate,CAutocomplectionCtrl,AddKeyword,0,0,1,0,0,0
CRobotModelingEditView,OnInitialUpdate,CAutocomplectionCtrl,AddKeyword,0,0,1,0,0,0
CRobotModelingSimulationApp,InitInstance,CAutocomplectionCtrl,Create,0,0,1,0,0,0
CRobotModelingSimulationApp,InitInstance,CMainFrame,LoadFrame,0,0,1,0,0,0
CRobotModelingSimulationApp,OpenDocumentFile,CRobotModelingEditDoc,OnOpenDocument,0,0,1,0,0,0
CRobotModelingSimulationApp,OpenDocumentFile,CRobotModelingEditDoc,OnOpenDocument,0,0,1,0,0,0
CRobotModelingSimulationDoc,DocJointMappingProcess,CRobotModelingSimulationView,OnJointMapping,0,0,1,0,0,0
CRobotModelingSimulationDoc,OnSaveDocument,CAutocomplectionCtrl,Create,0,0,1,0,0,0
CRobotModelingSimulationView,MemoryPatrol,CControlAIModelDlg,GetMovePlan,0,0,1,0,0,0
CRobotModelingSimulationView,OnNetworkServercreation,CAutocomplectionCtrl,Create,0,0,1,0,0,0
CRobotModelingSimulationView,OnNetworkSimulationserverconnection,CCommClient,ConnectServer,0,0,1,0,0,0
CRobotModelingSimulationView,OnNetworkSimulationserverconnection,CCommClient,CreateSocket,0,0,1,0,0,0
CRobotModelingSimulationView,OnToolsControlbox,CAutocomplectionCtrl,Create,0,0,1,0,0,0
CSensorAnalyzer,OnInitDialog,CAutocomplectionCtrl,Create,0,0,1,0,0,0
CSerialCtrl,ThreadWatchComm,CQueue,PutByte,0,0,1,0,0,0
#,load3dsModel,Code3dsloader,MAX_X,0,0,0,0,1,0
#,load3dsModel,Code3dsloader,MAX_X,0,0,0,0,1,0
#,load3dsModel,Code3dsloader,MAX_Y,0,0,0,0,1,0
#,load3dsModel,Code3dsloader,MAX_Y,0,0,0,0,1,0
#,load3dsModel,Code3dsloader,MAX_Z,0,0,0,0,1,0
#,load3dsModel,Code3dsloader,MAX_Z,0,0,0,0,1,0
#,load3dsModel,Code3dsloader,MAX_Z,0,0,0,0,1,0
#,load3dsModel,Code3dsloader,MAX_Z,0,0,0,0,1,0
#,load3dsModel,Code3dsloader,MIN_X,0,0,0,0,1,0
#,load3dsModel,Code3dsloader,MIN_X,0,0,0,0,1,0
#,load3dsModel,Code3dsloader,MIN_Y,0,0,0,0,1,0
#,load3dsModel,Code3dsloader,MIN_Y,0,0,0,0,1,0
#,load3dsModel,Code3dsloader,MIN_Z,0,0,0,0,1,0
#,load3dsModel,Code3dsloader,MIN_Z,0,0,0,0,1,0
#,load3dsModel,Code3dsloader,MIN_Z,0,0,0,0,1,0
#,load3dsModel,Code3dsloader,MIN_Z,0,0,0,0,1,0
#,meshDump,Code3dsloader,MAX_X,0,0,0,0,1,0
#,meshDump,Code3dsloader,MAX_X,0,0,0,0,1,0
#,meshDump,Code3dsloader,MAX_Y,0,0,0,0,1,0
#,meshDump,Code3dsloader,MAX_Y,0,0,0,0,1,0
#,meshDump,Code3dsloader,MAX_Z,0,0,0,0,1,0
#,meshDump,Code3dsloader,MAX_Z,0,0,0,0,1,0
#,meshDump,Code3dsloader,MIN_X,0,0,0,0,1,0
#,meshDump,Code3dsloader,MIN_X,0,0,0,0,1,0
#,meshDump,Code3dsloader,MIN_Y,0,0,0,0,1,0
#,meshDump,Code3dsloader,MIN_Y,0,0,0,0,1,0
#,meshDump,Code3dsloader,MIN_Z,0,0,0,0,1,0
#,meshDump,Code3dsloader,MIN_Z,0,0,0,0,1,0
CLineNumberStatic,OnLButtonDown,CAutocomplectionCtrl,urm_SELECTLINE,0,0,0,0,1,0
CAutocomplectionCtrl,CAutocomplectionCtrl,CLineNumberStatic,m_line,0,0,0,0,0,1
CAutocomplectionCtrl,PreSubclassWindow,CLineNumberStatic,m_line,0,0,0,0,0,1
CAutocomplectionCtrl,Prepare,CLineNumberStatic,m_line,0,0,0,0,0,1
CClassView,AdjustLayout,CClassToolBar,m_wndToolBar,0,0,0,0,0,1
CClassView,OnChangeVisualStyle,CClassToolBar,m_wndToolBar,0,0,0,0,0,1
CClassView,OnSort,CViewTree,m_wndClassView,0,0,0,0,0,1
CClassView,OnSort,CClassToolBar,m_wndToolBar,0,0,0,0,0,1
CClassView,OnDraw,CClassToolBar,m_wndToolBar,0,0,0,0,0,1
CCommClient,ReciveData,CRobotModelingSimulationView,m_view,0,0,0,0,0,1
CCommClient,ReciveData,CRobotModelingSimulationView,m_view,0,0,0,0,0,1
CCommClient,ReciveData,CRobotModelingSimulationView,m_view,0,0,0,0,0,1
CControlAIModelDlg,CControlAIModelDlg,CScrollHelper,m_scrollHelper,0,0,0,0,0,1
CControlAIModelDlg,CControlAIModelDlg,CScrollHelper,m_scrollHelper,0,0,0,0,0,1
CControlAIModelDlg,MemoryLeft,CHopfieldNetwork,m_hNetwork,0,0,0,0,0,1
CControlAIModelDlg,MemoryRight,CHopfieldNetwork,m_hNetwork,0,0,0,0,0,1
CControlAIModelDlg,OnLButtonDown,CScrollHelper,m_scrollHelper,0,0,0,0,0,1
CControlAIModelDlg,OnLButtonDown,CScrollHelper,m_scrollHelper,0,0,0,0,0,1
CControlAIModelDlg,OnRButtonDown,CScrollHelper,m_scrollHelper,0,0,0,0,0,1
CControlAIModelDlg,OnRButtonDown,CScrollHelper,m_scrollHelper,0,0,0,0,0,1
CFileView,AdjustLayout,CFileViewToolBar,m_wndToolBar,0,0,0,0,0,1
CFileView,CheckCreateModel,CViewTree,m_wndFileView,0,0,0,0,0,1
CFileView,OnChangeVisualStyle,CFileViewToolBar,m_wndToolBar,0,0,0,0,0,1
CFileView,OnIdrDelete,CViewTree,m_wndFileView,0,0,0,0,0,1
CFileView,OnIdrMappingjoint,CViewTree,m_wndFileView,0,0,0,0,0,1
CFileView,RecurrentDelete,CViewTree,m_wndFileView,0,0,0,0,0,1
CMainFrame,DeleteTreeAllItem,CFileView,m_wndFileView,0,0,0,0,0,1
CMainFrame,EnableComPort,CMFCToolBarEx,m_wndToolBarSerail,0,0,0,0,0,1
CMainFrame,GetFileView,CMFCToolBarEx,m_wndToolBarSerail,0,0,0,0,0,1
CMainFrame,GetPropertyWnd,CMFCToolBarEx,m_wndToolBarSerail,0,0,0,0,0,1
CMainFrame,InsertTreeModel,CFileView,m_wndFileView,0,0,0,0,0,1
CMainFrame,OnCreate,CMFCToolBarEx,m_wndToolBarSerail,0,0,0,0,0,1
CMainFrame,OnCreate,CMFCToolBarEx,m_wndToolBarSerail,0,0,0,0,0,1
CMainFrame,OnCreate,CMFCToolBarEx,m_wndToolBarSerail,0,0,0,0,0,1
CMainFrame,OnFileGeneratec,CRobotModelingEditView,m_editView,0,0,0,0,0,1
CMainFrame,PasingSerail,CRobotModelingSimulationView,m_view,0,0,0,0,0,1
CMainFrame,PasingSerail,CRobotModelingSimulationView,m_view,0,0,0,0,0,1
CMainFrame,PasingSerailNew,CRobotModelingSimulationView,m_view,0,0,0,0,0,1
CMainFrame,SendRoboCAR_Motor,CSerialCtrl,m_serial,0,0,0,0,0,1
CMainFrame,SendRoboCAR_Motor,CRobotModelingSimulationView,m_view,0,0,0,0,0,1
COdeControlBoxDlg,InitJointControl,CRobotModelingSimulationView,m_view,0,0,0,0,0,1
COdeControlBoxDlg,OnInitDialog,CRobotModelingSimulationView,m_view,0,0,0,0,0,1
COutputWnd,ClearOutputBuild,COutputList,m_wndOutputBuild,0,0,0,0,0,1
CPropertiesWnd,AdjustLayout,CPropertiesToolBar,m_wndToolBar,0,0,0,0,0,1
CPropertiesWnd,OnCreate,CPropertiesToolBar,m_wndToolBar,0,0,0,0,0,1
CRobotModelingEditDoc,OnOpenDocument,CRobotModelingEditView,m_view,0,0,0,0,0,1
CRobotModelingEditDoc,OnSaveDocument,CRobotModelingEditView,m_view,0,0,0,0,0,1
CRobotModelingEditView,OnEditCopy,CAutocomplectionCtrl,m_edit,0,0,0,0,0,1
CRobotModelingEditView,OnEditCopy,CAutocomplectionCtrl,m_edit,0,0,0,0,0,1
CRobotModelingEditView,OnEditCut,CAutocomplectionCtrl,m_edit,0,0,0,0,0,1
CRobotModelingEditView,OnEditPaste,CAutocomplectionCtrl,m_edit,0,0,0,0,0,1
CRobotModelingEditView,OnEditUndo,CAutocomplectionCtrl,m_edit,0,0,0,0,0,1
CRobotModelingEditView,OnInitialUpdate,CMainFrame,m_mainFrame,0,0,0,0,0,1
CRobotModelingEditView,OnSize,CAutocomplectionCtrl,m_edit,0,0,0,0,0,1
CRobotModelingSimulationApp,ExitInstance,CSplashLogo,pSLogo,0,0,0,0,0,1
CRobotModelingSimulationApp,InitInstance,CRobotModelingSimulationApp,theApp,0,0,0,0,0,1
CRobotModelingSimulationView,CRobotModelingSimulationView,CODEEngine,m_pODE,0,0,0,0,0,1
CRobotModelingSimulationView,MemoryPatrol,CMainFrame,m_mainFrame,0,0,0,0,0,1
CRobotModelingSimulationView,OnInitialUpdate,CMainFrame,m_mainFrame,0,0,0,0,0,1
CRobotModelingSimulationView,OnInitialUpdate,CMainFrame,m_mainFrame,0,0,0,0,0,1
CRobotModelingSimulationView,OnNetworkServercreation,CServer,m_pServer,0,0,0,0,0,1
CRobotModelingSimulationView,OnNetworkServercreation,CServer,m_pServer,0,0,0,0,0,1
CRobotModelingSimulationView,OnTimer,CMainFrame,m_mainFrame,0,0,0,0,0,1
CRobotModelingSimulationView,OnTimer,CMainFrame,m_mainFrame,0,0,0,0,0,1
CRobotModelingSimulationView,OnTimer,CMainFrame,m_mainFrame,0,0,0,0,0,1
CRobotModelingSimulationView,OnTimer,CMainFrame,m_mainFrame,0,0,0,0,0,1
CRobotModelingSimulationView,OnToolsControlSignal,CMainFrame,m_mainFrame,0,0,0,0,0,1
CRobotModelingSimulationView,OnToolsControlbox,COdeControlBoxDlg,m_pControlBoxdlg,0,0,0,0,0,1
CRobotScript,CommandPaser,CRobotModelingSimulationView,m_view,0,0,0,0,0,1
CRobotScript,CommandPaser,CRobotModelingSimulationView,m_view,0,0,0,0,0,1
CRobotScript,CommandPaser,CRobotModelingSimulationView,m_view,0,0,0,0,0,1
CRobotScript,CommandPaser,CRobotModelingSimulationView,m_view,0,0,0,0,0,1
CRobotScript,CommandPaser,CRobotModelingSimulationView,m_view,0,0,0,0,0,1
CRobotScript,CommandPaser,CRobotModelingSimulationView,m_view,0,0,0,0,0,1
CRobotScript,CommandPaser,CRobotModelingSimulationView,m_view,0,0,0,0,0,1
CRobotScript,CommandPaser,CRobotModelingSimulationView,m_view,0,0,0,0,0,1
CRobotScript,GetGlobalVariable,CRobotModelingSimulationView,m_view,0,0,0,0,0,1
CRobotScript,GetGlobalVariable,CRobotModelingSimulationView,m_view,0,0,0,0,0,1
CRobotScript,GetGlobalVariable,CRobotModelingSimulationView,m_view,0,0,0,0,0,1
CRobotScript,GetGlobalVariable,CRobotModelingSimulationView,m_view,0,0,0,0,0,1
CRobotScript,GetGlobalVariable,CRobotModelingSimulationView,m_view,0,0,0,0,0,1
CRobotScript,GetGlobalVariable,CRobotModelingSimulationView,m_view,0,0,0,0,0,1
CRobotScript,GetGlobalVariable,CRobotModelingSimulationView,m_view,0,0,0,0,0,1
CRobotScript,GetGlobalVariable,CRobotModelingSimulationView,m_view,0,0,0,0,0,1
CRobotScript,GetGlobalVariable,CRobotModelingSimulationView,m_view,0,0,0,0,0,1
CServer,OnAccept,CRobotModelingSimulationView,m_view,0,0,0,0,0,1
CServer,OnAccept,CRobotModelingSimulationView,m_view,0,0,0,0,0,1
CServer,OnAccept,CRobotModelingSimulationView,m_view,0,0,0,0,0,1
CServer,OnAccept,CRobotModelingSimulationView,m_view,0,0,0,0,0,1
CServer,OnReceive,CRobotModelingSimulationView,m_view,0,0,0,0,0,1
CServer,SendUser,CRobotModelingSimulationView,m_view,0,0,0,0,0,1
CServer,SendUser,CRobotModelingSimulationView,m_view,0,0,0,0,0,1
CServer,SendUser,CRobotModelingSimulationView,m_view,0,0,0,0,0,1
CServer,CSignalCodeDlg,CRobotModelingSimulationView,m_view,0,0,0,0,0,1
